"","model","pamiec_RAM","pamiec_wbudowana","aparat_foto","cena","liczba_opinii","ocena"
"1","Xiaomi Mi Mix 3","6GB","128GB","12",2699,0,0
"2","Samsung Galaxy A9","6GB","128GB","24",1990,7,5
"3","Xiaomi MI 8 Lite","4GB","64GB","12",1099,29,5
"4","Honor 8X","4GB","128GB","20",1299,396,5
"5","Huawei P20","4GB","64GB","20",1799,11,5
"6","Huawei P20 Lite","4GB","64GB","16",1099,179,5
"7","Samsung Galaxy A7","4GB","64GB","24",1399,18,5
"8","Honor 9 Lite","3GB","32GB","13",749,53,5
"9","Huawei P20 Pro","6GB","128GB","40",2699,72,5
"10","Xiaomi Redmi 6","3GB","32GB","12",599,25,5
"11","Motorola Moto G6 Play","3GB","32GB","13",669,304,5
